sku,title,vendor,categories,tags,price,images,stores
brisker-cold-weather-riding-gloves,Brisker Cold Weather Riding Gloves,Brisker,Apparel,,16,https://cdn.shopify.com/s/files/1/0923/8062/products/Black-gloves-web.jpeg?v=1438624775,"2, 4, 8, 16, 18"
levis-commuter-long-sleeve-tee,Levi's Commuter Long Sleeve Tee,Levi's,Apparel,"Accessories, Apparel, Shirts",58,https://cdn.shopify.com/s/files/1/0923/8062/products/levis-shirt.jpeg?v=1438624513,"1, 6, 9, 11, 14"
levis-commuter-skinny-jeans,Levi's Commuter Skinny Jeans,Levi's,Apparel,"Accessories, Apparel, Pants",88,https://cdn.shopify.com/s/files/1/0923/8062/products/Womens-pants-black-1_WEB.jpeg?v=1438624508,"2, 3, 8, 12, 14"
levis-lady-commuter-shorts,Levi's Commuter Shorts,Levi's,Apparel,"Accessories, Apparel, Shorts",68,https://cdn.shopify.com/s/files/1/0923/8062/products/Womens-shorts-blue-2_WEB.jpeg?v=1438624502,"2, 4, 6, 9, 18"
levis-commuter-511-slim-fit-jeans,Levi's Commuter 511 Slim Fit Jeans,Levi's,Apparel,"Accessories, Apparel, Pants",88,https://cdn.shopify.com/s/files/1/0923/8062/products/Men-pants-light-blue-2_WEB.jpeg?v=1438624498,"3, 7, 9, 13, 20"
levis-commuter-504-regular-straight-jeans,Levi's Commuter 504 Regular Straight Jeans,Levi's,Apparel,"Accessories, Apparel, Pants",88,https://cdn.shopify.com/s/files/1/0923/8062/products/Men-pants-blue-2_WEB.jpeg?v=1438624493,"13, 16, 17, 18, 19"
pure-fix-head-tube-badge,Pure Fix Head Tube Badge,Pure Fix Cycles,Badge,"Accessories, Accessory, Badge, Black, Pure Fix",1.99,https://cdn.shopify.com/s/files/1/0923/8062/products/badge.jpeg?v=1438625896,"1, 4, 5, 9, 13"
pure-fix-bar-tape,Bar Tape,Pure Fix Cycles,Bar Tape,"Bars and Tape, Bars Tape Grips and Stems, Black, Blue, Brown, Celeste, Glow, Glow In The Dark, Glow Series, Gold, Green, Grips and Tape, Handlebar Tape, Orange, Parts, Pink, Purple, Red, Tape, White, Yellow",12,https://cdn.shopify.com/s/files/1/0923/8062/products/SMT_2776_edit_1200.jpeg?v=1438626105,"13, 16, 17, 18, 19"
multicolor-pure-fix-bar-tape,Multicolor Bar Tape,Pure Fix Cycles,Bar Tape,"Bars and Tape, Bars Tape Grips and Stems, Blue, Brown, Camo, Cream, Green, Grips and Tape, Handlebar Tape, Orange, Parts, Red, Tape, White, Yellow",12,https://cdn.shopify.com/s/files/1/0923/8062/products/camo_tape_0003_red_white_black.jpeg?v=1438625965,"1, 9, 10, 13, 14"
fizik-tacky-touch-bar-tape,Fizik Tacky Touch Bar Tape,Fizik,Bar Tape,"Bars and Tape, Bars Tape Grips and Stems, Black, Grips and Tape, Handlebar Tape, Parts, Tape, White",35,https://cdn.shopify.com/s/files/1/0923/8062/products/Fizik-tape-Black-white-WEB.jpeg?v=1438624801,"2, 7, 13, 17, 19"
pure-city-leather-tape,Pure City Leather Handlebar Tape,Pure City Cycles,Bar Tape,"Bars and Tape, Bars Tape Grips and Stems, Black, Brown, City Accessories, Essentials, Grips and Tape, Handlebar Tape, Honey, Leather, Parts, Pure City, Things We Love",59,https://cdn.shopify.com/s/files/1/0923/8062/products/PureFixStyle02_Tan_WEB.jpeg?v=1438624694,"5, 7, 8, 11, 18"
pure-city-basket-1,Pure City Basket,Cyclone,Baskets,"Accessories, Basket, Baskets, Baskets and Racks, City Accessories, Pure City",60,https://cdn.shopify.com/s/files/1/0923/8062/products/basket_full.jpeg?v=1438625452,"1, 6, 8, 17, 20"
pure-city-cargo-straps,Pure City Cargo Straps,Pure Fix Cycles,Baskets,"Accessories, Baskets and Racks, Black, Blue, Cargo Straps, City Accessories, Green, Pure City, Straps",12,https://cdn.shopify.com/s/files/1/0923/8062/products/CargoStrap_Blue_PureCity_Front_WEB.jpeg?v=1438625338,"1, 6, 9, 11, 14"
nantucket-basket,Nantucket Lightship Basket,Nantucket Bike Basket Co,Baskets,"Accessories, Basket, Baskets, Baskets and Racks, Brown, City Accessories, Pure City",50,https://cdn.shopify.com/s/files/1/0923/8062/products/nantucket-basket-natural-WEB.jpeg?v=1438625318,"1, 7, 13, 18, 19"
city-crate-rear-rack-basket,Wooden City Crate,Pure Fix Cycles,Baskets,"Accessories, Basket, Baskets and Racks, City Accessories, Pure City, Racks and Baskets",50,https://cdn.shopify.com/s/files/1/0923/8062/products/CityCrate_Blue_Side_WEB.jpeg?v=1438625306,"1, 2, 6, 14, 20"
nantucket-cruiser-pannier-basket,Nantucket Cruiser Pannier Basket,Nantucket Bike Basket Co,Baskets,"Accessories, Bags, Basket, Baskets, Baskets and Racks, City Accessories, Panniers, Pure City, White",70,https://cdn.shopify.com/s/files/1/0923/8062/products/nantucket-basket-cruiser-pannier-natural-WEB.jpeg?v=1438625097,"2, 5, 8, 10, 15"
nantucket-cisco-basket,Nantucket Cisco Basket,Nantucket Bike Basket Co,Baskets,"Accessories, Basket, Baskets, Baskets and Racks, Brown, City Accessories, Pure City",70,https://cdn.shopify.com/s/files/1/0923/8062/products/nantucket-basket-cisco-natural-WEB.jpeg?v=1438625092,"3, 5, 12, 15, 18"
city-bell,City Bell,Pure Fix Cycles,Bells,"Bell, Black, Blue, City, City Accessories, Gold, Pure City, Red, Silver",10,https://cdn.shopify.com/s/files/1/0923/8062/products/Chrome-Bell-Full.jpeg?v=1438625132,"3, 6, 14, 17, 19"
crane-bell,Crane Bell,Crane,Bells,"Accessories, Bells, Goods",20,https://cdn.shopify.com/s/files/1/0923/8062/products/crane-copper-bell-WEB.jpeg?v=1438625053,"3, 9, 10, 14, 20"
ding-dong-bell,Ding Dong Bell,Pure Fix Cycles,Bells,"Bells, Black, Blue, City, City Accessories, Goods, Pure City, Red, Safety Gear, Things We Love",12,https://cdn.shopify.com/s/files/1/0923/8062/products/CITY-BELL_PASTEL_MIXED_SET_WEB.jpeg?v=1438624471,"1, 2, 6, 18, 20"
hammer-pull-brass-bell,Hammer Pull Brass Bell,Pure City Cycles,Bells,"Accessories, Bells",14,https://cdn.shopify.com/s/files/1/0923/8062/products/bellprimary.jpeg?v=1438624465,"1, 5, 10, 12, 15"
flat-bicycle-shelf,Flat Bicycle Shelf,Pure Fix Cycles,Bicycle Rack,"Accessories, Rack, Shelf, Wood",99,https://cdn.shopify.com/s/files/1/0923/8062/products/flat_shelf_1.jpeg?v=1438626017,"4, 8, 13, 16, 20"
triangle-bicycle-shelf,Triangle Bicycle Shelf,Pure Fix Cycles,Bicycle Rack,"Bike, College Fixie, Fixed Gear, Fixie, Shelf, Urban Fixie, Wood",120,https://cdn.shopify.com/s/files/1/0923/8062/products/triangle-shelf_1.jpeg?v=1438625502,"2, 6, 8, 9, 18"
leather-6-pack-holder,Leather 6-Pack Holder,Walnut Studiolo,Bike Accessories,"Accessories, City Accessories, Goods, Leather, Things We Love",42,https://cdn.shopify.com/s/files/1/0923/8062/products/6pack-holder--blackleather-WEB.jpeg?v=1438624959,"2, 6, 12, 15, 19"
leather-little-lifter,Leather Little Lifter,Walnut Studiolo,Bike Accessories,"Accessories, City Accessories, Goods, Leather, Things We Love",42,https://cdn.shopify.com/s/files/1/0923/8062/products/little-lifter-all-web.jpeg?v=1438624947,"8, 9, 11, 13, 19"
fizik-saddle-pak,Fizik Saddle Pak,Fizik,Bike Accessories,"Accessories, Bags, Saddle Bags, Saddles and Seatposts",24.99,https://cdn.shopify.com/s/files/1/0923/8062/products/FIZIK-BAG_SILVER_2014_SEAMLESS_MAIN_WEB.jpeg?v=1438624845,"1, 3, 13, 15, 16"
quad-lock-univeral-phone-mount,Quad Lock Universal Phone Mount,Quadlock,Bike Accessories,"Accessories, Essentials, Phone, Phone Accessories, Tech",39.95,https://cdn.shopify.com/s/files/1/0923/8062/products/Quadlock_universal_main_WEB.jpeg?v=1438624767,"7, 10, 11, 13, 20"
quad-lock-iphone-mount,Quad Lock iPhone Mount,Quadlock,Bike Accessories,"Accessories, Essentials, Phone, Phone Accessories, Tech",59.99,https://cdn.shopify.com/s/files/1/0923/8062/products/Quadlock_iPhone5_kit2_WEB.jpeg?v=1438624761,"9, 16, 17, 18, 20"
siva-atom,Siva Atom,Siva Cycles,Bike Accessories,"Accessories, Tech, Things We Love, Tools and Maintenance, Wheelsets and Accessories",129,https://cdn.shopify.com/s/files/1/0923/8062/products/siva-unit.jpeg?v=1438624670,"7, 8, 11, 12, 17"
city-bike-rack,City Bike Rack,Pure Fix Cycles,Bike Rack,"Accessories, Baskets and Racks, City Accessories, Pure City, Rack, Silver",40,https://cdn.shopify.com/s/files/1/0923/8062/products/Bike-Rack-Front_WEB.jpeg?v=1438625384,"8, 14, 15, 16, 18"
pure-fix-pannier-bag,Pure Fix Pannier Bag,Pure Fix Cycles,Bike Rack,"Accessories, Bags, Baskets and Racks, Panniers",49,https://cdn.shopify.com/s/files/1/0923/8062/products/PannierBag_Olive_Front_3RD_WEB.jpeg?v=1438624789,"3, 4, 5, 16, 19"
saris-solo-bike-rack,Saris Solo Bike Rack,Saris,Bike Racks,"Bike Racks, Black, Rack",59.99,https://cdn.shopify.com/s/files/1/0923/8062/products/saris-solo-bike-rack-web.jpeg?v=1438625128,"3, 5, 8, 13, 19"
saris-bones-3-bike-rack,Saris Bones 3 Bike Rack,Saris,Bike Racks,Bike Racks,169.99,https://cdn.shopify.com/s/files/1/0923/8062/products/saris-3-bones-bike-rack-web.jpeg?v=1438625127,"3, 6, 7, 11, 12"
neco-bottom-bracket,Sealed Cartridge Bottom Bracket,Neco,Bottom Brackets,"Bottom Bracket, Bottom Brackets, Drivetrain, Neco, Parts",20,https://cdn.shopify.com/s/files/1/0923/8062/products/Bottom-Bracket_68-x-110_Front_WEB.jpeg?v=1438625963,"2, 9, 14, 18, 20"
fgfs-bottom-bracket,FGFS Bottom Bracket,Pure Fix Cycles,Bottom Brackets,"Bottom Bracket, Bottom Brackets, Drivetrain, FGFS",0,https://cdn.shopify.com/s/files/1/0923/8062/products/fgfs-bottom-bracket.jpeg?v=1438625476,"1, 2, 6, 14, 20"
truative-powerspline-bottom-bracket,Truvativ Powerspline Bottom Bracket,Truvativ,Bottom Brackets,"Bottom Bracket, Bottom Brackets, Drivetrain, Parts, Pro, Track",25,https://cdn.shopify.com/s/files/1/0923/8062/products/Turative-bottom-bracket-WEB_c601085e-05e5-4596-82cc-2ab2d402c4b2.jpeg?v=1438625234,"4, 8, 13, 16, 20"
truative-square-taper-bottom-bracket,Truvativ Square Taper Bottom Bracket,Truvativ,Bottom Brackets,"Bottom Bracket, Bottom Brackets, Drivetrain, Parts, Truativ",20,https://cdn.shopify.com/s/files/1/0923/8062/products/Turative-bottom-bracket-square-113-WEB.jpeg?v=1438625100,"1, 6, 9, 18, 20"
rear-brake-kit,Brake Kit,Pure Fix Cycles,Brake,"Alloy, Black, Brake Parts, Brakes, Essential, Essentials, Parts, Safety Gear",39,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Black_Front_WEB.jpeg?v=1438626087,"3, 6, 13, 14, 19"
brake-pad,Brake Pad,Pure Fix Cycles,Brake,"Black, Brake Pad, Brake Pads, Brakes, Parts, Safety Gear, White",4,https://cdn.shopify.com/s/files/1/0923/8062/products/brake-pad-all-web.jpeg?v=1438626083,"1, 2, 6, 18, 20"
fgfs-brake-kit,FGFS Brake Kit,Pure Fix Cycles,Brake,"Black, Brake Parts, Brakes, FGFS, FGFS Accessories, FGFS Series, Parts, Safety Gear",22,https://cdn.shopify.com/s/files/1/0923/8062/products/brake_and_handle_web_1.jpeg?v=1438626048,"1, 5, 11, 14, 17"
hooded-brake-lever,Hooded Brake Levers,Pure Fix Cycles,Brake,"Bars Tape Grips and Stems, Brake Parts, Parts",32,https://cdn.shopify.com/s/files/1/0923/8062/products/hooded-brake-lever.jpeg?v=1438625487,"3, 6, 13, 14, 19"
brake-cable-housing,Brake Cable Housing,Pure Fix Cycles,Brake,"Blue, Brake Parts, Brake Set, City Accessories, Green, Orange, Parts, Pure City, Red, White",4,https://cdn.shopify.com/s/files/1/0923/8062/products/Green-Brake-Cable_WEB.jpeg?v=1438625361,"3, 4, 9, 12, 14"
chamois-butt-r,Chamois Butt'r,Paceline Products,Care,"Accessories, Tools",15.99,https://cdn.shopify.com/s/files/1/0923/8062/products/chamois-buttr-web.jpeg?v=1438624977,"3, 7, 8, 12, 16"
kmc-z410h-chain,KMC Z410H Chain,KMC,Chain,"Alloy, Black, Blue, Chain, Chains, Drivetrain, Gold, Green, Parts, Pink, White, Yellow",10,https://cdn.shopify.com/s/files/1/0923/8062/products/chain_1.jpeg?v=1438625994,"1, 7, 12, 16, 19"
pure-city-chain-guard,Pure City Chain Guard,Pure Fix Cycles,Chain Guards,"Black, Celeste, Chain Guard, City Accessories, Cream, Matte Black, Pure City, Red, Silver, White",10,https://cdn.shopify.com/s/files/1/0923/8062/products/Yellow-Chain-Cover-FULL.jpeg?v=1438625141,"5, 8, 12, 13, 17"
chain-tensioners,Chain Tensioners,Pure Fix Cycles,Chain Tensioners,"Alloy, Black, Drivetrain, Parts",2,https://cdn.shopify.com/s/files/1/0923/8062/products/screw-both.jpeg?v=1438626073,"1, 7, 13, 18, 19"
factory-5-lattice-chainring-49t,Factory 5 Lattice Chainring - 49T,Factory 5,Chainrings,"Chainrings, Drivetrain, Parts",89.99,https://cdn.shopify.com/s/files/1/0923/8062/products/CHAINRING_F5-LATTICE_BLACK-N-SILVER_FRONT_WEB.jpeg?v=1438624415,"6, 9, 10, 14, 16"
acs-crossfire-chain,ACS Crossfire Chain,ACS,Chains,"Chains, Drivetrain, Parts",15,https://cdn.shopify.com/s/files/1/0923/8062/products/ACSchainCut.jpeg?v=1438624520,"1, 4, 11, 14, 15"
cateye-urban-wireless-cycling-computer,Cateye Urban Wireless Cycling Computer,Cateye,Computer,"Bike Computers, Black, Computer",45,https://cdn.shopify.com/s/files/1/0923/8062/products/urban-wireless-black-web.jpeg?v=1438625417,"3, 4, 6, 8, 15"
fgfs-crankset,FGFS Crankset,Pure Fix Cycles,Cranks,"Black, Crank, Cranks, Drivetrain, FGFS, FGFS Accessories, FGFS Series, Parts",49,https://cdn.shopify.com/s/files/1/0923/8062/products/fgfg-crank_1.jpeg?v=1438626046,"6, 9, 10, 14, 16"
pure-fix-crankset,Fixie Crankset 44T,Pure Fix Cycles,Cranks,"Alloy, Black, Cranks, Drivetrain, Gold, Green, Magenta, Orange, Parts, Red, White, Yellow",54,https://cdn.shopify.com/s/files/1/0923/8062/products/PFCrankset_Black_Top_WEB.jpeg?v=1438626037,"2, 3, 9, 11, 18"
fixie-crankset-48t,Fixie Crankset 48T,Pure Fix Cycles,Cranks,"Alloy, Black, Cranks, Drivetrain, Gold, Parts, White",54,https://cdn.shopify.com/s/files/1/0923/8062/products/Fixie-Crank_3.jpeg?v=1438626027,"3, 4, 6, 8, 15"
sram-s100-175mm-48t-black-courier-crankset-power-spline,SRAM S100 165mm 48T Black Courier Crankset Power Spline,SRAM,Cranks,"Black, Cranks, Drivetrain, Parts, Pro, SRAM, Track",84,https://cdn.shopify.com/s/files/1/0923/8062/products/s100spun.jpeg?v=1438625286,"4, 8, 11, 17, 20"
sram-omnium-track-crankset,SRAM Omnium Track Crankset and Bottom Bracket,SRAM,Cranks,"Alloy, Black, Bottom Brackets, Cranks, Drivetrain, Parts, Pro, SRAM, Track",269,https://cdn.shopify.com/s/files/1/0923/8062/products/omnium-silver-sram-crank-WEB.jpeg?v=1438625284,"1, 6, 8, 17, 20"
sram-s300-165mm-48t-black-crankset-and-bottom-bracket,SRAM S300 165mm 48T Black Crankset and Bottom Bracket,SRAM,Cranks,"Black, Cranks, Drivetrain, Parts, Pro, SRAM, Track",156,https://cdn.shopify.com/s/files/1/0923/8062/products/sram-s300-driveside-web_98b7f6d0-bb63-4899-8a70-80b82f67bca8.jpeg?v=1438624919,"1, 4, 5, 8, 15"
ass-savers,Ass Savers,Smart Ass,Fender,"Accessories, Accessory, Black, Blue, Clear, Essential, Essentials, Fenders and Chain Guards, Green, Grey, Orange, Pink, Red, Saddles and Seatposts, Seat, Weather, Wheelsets and Accessories, White, Yellow",14,https://cdn.shopify.com/s/files/1/0923/8062/products/ass-saver-web_0005_Ass_Saver_Black_FULL.jpeg?v=1438626119,"3, 7, 9, 13, 20"
pure-city-fenders,Pure City Fenders,Pure Fix Cycles,Fender,"City Accessories, Fender, Fenders and Chain Guards, Pure City",30,https://cdn.shopify.com/s/files/1/0923/8062/products/Tire-Cover-Red-Full.jpeg?v=1438625150,"1, 7, 12, 16, 19"
the-bogey,The Bogey,Pure Fix Cycles,FGFS,"Black, FGFS, FGFS Series, Fixed Gear Freestyle, Grey, Trick Bike, Trick Fixie",399,https://cdn.shopify.com/s/files/1/0923/8062/products/bogey_1201.jpeg?v=1438625801,"14, 15, 16, 19, 20"
the-chief,The Chief,Pure Fix Cycles,FGFS,"Black, FGFS, FGFS Series, Fixed Gear Freestyle, Trick Bike, Trick Fixie, White",399,https://cdn.shopify.com/s/files/1/0923/8062/products/chief_1201.jpeg?v=1438625781,"3, 5, 6, 15, 19"
fgfs-pegs,FGFS Pegs,Pure Fix Cycles,FGFS Accessories,"Accessories, Black, FGFS, FGFS Accessories",1,https://cdn.shopify.com/s/files/1/0923/8062/products/B00CU3DR9G.main.jpeg?v=1438625329,"13, 16, 17, 18, 19"
original-fixed-cog,Original Fixed Cog,Pure Fix Cycles,Fixed Cogs,"14T, 16T, Alloy, cog, Cogs, Cogs and Lockrings, Drivetrain, Parts",8,https://cdn.shopify.com/s/files/1/0923/8062/products/Cog-WEB.jpeg?v=1438625488,"3, 5, 7, 16, 18"
bravo-black-blue-fixie,Bravo,Pure Fix Cycles,Fixed Gear Bicycle,"47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, Blue, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie",329,https://cdn.shopify.com/s/files/1/0923/8062/products/BRAVO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442512880,"3, 10, 11, 12, 17"
delta-green-pink-fixie,The Delta,Pure Fix Cycles,Fixed Gear Bicycle,"Bicycle, Bicycles, Bike, Celeste, College Fixie, Fixed Gear, Fixie, Pink, Pure Fix Cycles, Urban Fixie",325,https://cdn.shopify.com/s/files/1/0923/8062/products/delta_1200.jpeg?v=1438625774,"6, 9, 18, 19, 20"
black-red-fixie-the-echo,Echo,Pure Fix Cycles,Fixed Gear Bicycle,"43cm, 47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Matte Black, Pure Fix Cycles, Red, Urban Fixie",329,https://cdn.shopify.com/s/files/1/0923/8062/products/ECHO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433490,"5, 13, 15, 17, 19"
foxtrot-purple-white-fixie,The Foxtrot,Pure Fix Cycles,Fixed Gear Bicycle,"Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Purple, Urban Fixie, Yellow",325,https://cdn.shopify.com/s/files/1/0923/8062/products/foxtrot_1200.jpeg?v=1438625763,"2, 5, 6, 13, 17"
the-golf,The Golf,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, Bicycle, Bicycles, Bike, Blue, Fixed Gear, Fixie, Light Blue, Orange, Pure Fix Cycles, Urban Fixie",325,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048_0016_Golf.jpeg?v=1438625756,"6, 11, 12, 15, 18"
black-gold-fixie,India,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, Fixed Gear, Fixie, Gold, Matte Black, Pure Fix Cycles",329,https://cdn.shopify.com/s/files/1/0923/8062/products/INDIA_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433561,"1, 6, 8, 16, 17"
matte-black-fixie,Juliet,Pure Fix Cycles,Fixed Gear Bicycle,"43cm, 47cm, 50cm, 54cm, 58cm, 61cm, 64cm, Bicycle, Bicycles, Bike, Black, Fixed Gear, Fixie, Matte Black, Pure Fix Cycles",329,https://cdn.shopify.com/s/files/1/0923/8062/products/JULIET_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433587,"2, 3, 4, 12, 18"
colorful-fixie-lima,The Lima,Pure Fix Cycles,Fixed Gear Bicycle,"Bicycle, Bicycles, Bike, Blue, College Fixie, Fixed Gear, Fixie, Green, Limited Edition, Matte Black, Pink, Pure Fix Cycles, Red, Urban Fixie, Yellow",325,https://cdn.shopify.com/s/files/1/0923/8062/products/lima_1200.jpeg?v=1438625709,"2, 7, 13, 17, 19"
fixie-the-mike,Mike,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Gold, Matte Black, Pure Fix Cycles, Urban Fixie, White, WTB",329,https://cdn.shopify.com/s/files/1/0923/8062/products/MIKE_2015_SEAMLESS_SIDE_WEB.jpeg?v=1442433620,"7, 10, 11, 13, 20"
november-blue-silver-bike,November,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, 58cm, Alloy, Bicycle, Bicycles, Bike, Blue, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Silver, Urban Fixie",329,https://cdn.shopify.com/s/files/1/0923/8062/products/NOVEMBER_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433641,"9, 16, 17, 18, 20"
the-oscar-chrome-fixie,Oscar,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, 58cm, Alloy, Bicycle, Bicycles, Bike, Chrome, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie",329,https://cdn.shopify.com/s/files/1/0923/8062/products/OSCAR_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1438625635,"4, 7, 8, 11, 12"
papa-grey-orange-fixie,Papa,Pure Fix Cycles,Fixed Gear Bicycle,"43, 43cm, 47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Fixie, Grey, Matte Grey, Orange, Pure Fix Cycles",329,https://cdn.shopify.com/s/files/1/0923/8062/products/PAPA_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433662,"1, 2, 3, 11, 15"
black-white-fixie-1,Quebec,Pure Fix Cycles,Fixed Gear Bicycle,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, White, WTB",329,https://cdn.shopify.com/s/files/1/0923/8062/products/QUEBEC_2015_SEAMLESS_SIDE_WEB.jpeg?v=1442433684,"1, 7, 12, 17, 18"
white-fixie-the-romeo,Romeo,Pure Fix Cycles,Fixed Gear Bicycle,"43cm, 47cm, 50cm, 54cm, 58cm, 61cm, Bicycle, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, White",329,https://cdn.shopify.com/s/files/1/0923/8062/products/ROMEO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433766,"5, 11, 14, 19, 20"
