title,price,images,url,description,rating,categories,tab,type,stores,amazon,walmart,target
Maybelline Eye Studio Master Graphic in Striking Black,11.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eye-studio-master-graphi-28.png,https://well.ca/products/maybelline-eye-studio-master-graphic_112723.html,Eye Studio Master Graphic Liquid Liner from Maybelline New York. Love the graphic look? This genius eyeliner automatically draws the boldest line with the sharpest edge! Features:Automatically draw the boldest line with the sharpest edgePitch black finishUse the flat side for bold line. Use the sharp tip for the edges,,Eyeliner,Eyeliner,3,"4, 10, 14, 16, 19",,,
Maybelline EyeStudio Master Precise Ink Pen Eyeliner,11.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eyestudio-master-precise-29.png,https://well.ca/products/maybelline-eyestudio-master-precise_40535.html,"Experience the new generation of liquid liner from Maybelline!              Ink technology keeps pigments super-saturatedSpring cap keeps the formula freshMost precise line for lasting intensity                                                    Safe for sensitive eyes and ophthalmologist-testedContact lens safeFor Best Results: 1. Start at inner corner of upper eye. Flare outward. 2. Create the sharpest design, uniquely your own.",4,Eyeliner,Eyeliner,2,"1, 4, 11, 14, 15",,,
Maybelline Line Stiletto Ultimate Precision Liquid Eyeliner,10.29,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/line-stiletto-ultimate-p-30.png,https://well.ca/products/maybelline-line-stiletto-ultimate_17295.html,"Easily Creates Slender Lines

    Rich, Even Color
    All-Day Wear
    Smooth Glide Felt Tip
    Flexible tip guides on smoothly for the most precise control.
    All-day wear up to 8 hours",4,Eyeliner,Eyeliner,4,"2, 3, 4, 5, 11",,,
Maybelline Liquid Eyeliner,10.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/liquid-eyeliner-31.png,https://well.ca/products/maybelline-liquid-eyeliner_3739.html,"Waterproof Liquid Eyeliner draws intense lining in an instant.
It glides on smoothly for even coverage.
The firm felt tip applicator allows easy control.
Waterproof, all-day wear.",4.2,Eyeliner,Eyeliner,3,"1, 7, 12, 16, 19",,,
Maybelline Eye Studio Lasting Drama Gel Eyeliner,11.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eye-studio-lasting-drama-32.png,https://well.ca/products/maybelline-eye-studio-lasting-drama_23247.html,"Maybelline Eye Studio Lasting Drama Gel Eyeliner gives you smudge-proof lines that are waterproof for 24 hours. Features:            Oil-free formula holds highly concentrated pigments in a clear gel baseSmudge-proof and waterproof for 24 hoursMost intense line for lasting drama                                                    Safe for sensitive eyes and ophthalmologist-testedContact lens safe
		Removes easily with Expert Eyes® Moisturizing Eye Makeup Remover.Maybelline Eye Studio Lasting Drama Gel Eyeliner is one of our 10 Makeup Must Haves.  See the full list on The Well. ",4.4,Eyeliner,Eyeliner,1,"5, 8, 12, 13, 17",,,
Maybelline Expert Wear Eye Shadow Quad ,8.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/expert-wear-eye-shadow-q-18.png,https://well.ca/products/maybelline-expert-wear-eye-shadow_79611.html,"Easy to use, lots to choose!Maybelline Expert Wear Eye Shadow 
Quads have 4 coordinating shades with step by step application guide 
makes shadow easier than ever. The eyeshadows glide on effortlessly with
 superior smoothness and the velvet-tip applicator blends without 
tugging or pulling. Safe for sensitive eyes and contact lens wearers, 
ophthalmologist-tested.For best results sweep the brush 4 times:Apply base color. Sweep shade on lid. Contour crease and blend. Line around eye.",4,Eyeshadow,Eyeshadow,4,"1, 5, 6, 10, 11",,,
Maybelline Eyestudio Color Tattoo Concentrated Crayon,10.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eyestudio-color-tattoo-c-19.png,https://well.ca/products/maybelline-eyestudio-color-tattoo_114535.html,"Maybelline Eyestudio Color Tattoo Concentrated Crayons give you high-intensity color that looks vibrant all-day long.Features:Smooth, soft creamy finishPlayful intense colorsAll day tattoo tenacity. Playful color intensity. In an easy glide on crayon.",3,Eyeshadow,Eyeshadow,1,"2, 3, 9, 11, 18",,,
Maybelline The Nudes Eye Shadow Palette,17.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/the-nudes-eye-shadow-pal-20.png,https://well.ca/products/maybelline-the-nudes-eye-shadow_95144.html,"Maybelline The Nudes Eye Shadow Palette let's you create looks from day to night. Deep to light. So try it out and create your ideal eye look today!Features: 
		
			
				13 looks in one Expert Wear eyeshadow palette
Extraordinary Colour, from soft highlights, to medium bronze, to rich black
From Maybelline's ultra-blendable pigments
Long Wear",2,Eyeshadow,Eyeshadow,2,"3, 4, 6, 8, 15",,,
Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow Leather,8.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eye-studio-color-tattoo-21.png,https://well.ca/products/maybelline-eye-studio-color-tattoo_95143.html,"So rich. So creamy. Only Maybelline's cream gel eye shadow formula gets the look of couture leather so right!
		
			
				Dare to wear Maybelline Color Tattoo leather 24HR long wear eye shadow.Features: Ink technology creates 24HR wear shadow for our most intense, long-lasting color saturationCream eye shadow formula glides on without creasing and keeps color vibrantOphthalmologist-tested.  Safe for sensitive eyes and contact lens wearers
		Shade Range:",4.3,Eyeshadow,Eyeshadow,1,"3, 4, 5, 7, 9",,,
Maybelline The Nudes Eyeshadow Palette in The Blushed Nudes,17.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/the-nudes-eyeshadow-pale-22.png,https://well.ca/products/maybelline-the-nudes-eyeshadow_107498.html,Create looks from day to night and deep to light with Maybelline's The Blushed Nudes Eyeshadow Palette.Features:13 looks in one eyeshadow paletteExtraordinary colour from ultra-blendable pigmentsLong wear with sensual finish that lasts up to 12 hours,4.5,Eyeshadow,Eyeshadow,2,"4, 5, 9, 12, 19",,,
Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow,8.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eye-studio-color-tattoo-23.png,https://well.ca/products/maybelline-eye-studio-color-tattoo_50692.html,"Dare to wear 24HR shadow!Maybelline's Color Tattoo Cream Gel Shadow uses ink technology for their most intense, long-lasting colour saturation. The cream formula glides on without creasing and keeps colour vibrant.Ophthalmologist-tested. Safe for sensitive eyes and contact lens wearers.
                    
                    
                    
                        
                        For best results: With 
fingertips, sweep all over eye from inner corner and work outwards. For
 added drama, darken as desired.              ",4.5,Eyeshadow,Eyeshadow,3,"1, 3, 4, 13, 17",,,
Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow ,8.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/eye-studio-color-tattoo-24.png,https://well.ca/products/maybelline-eye-studio-color-tattoo_67270.html,"Dare to wear 24HR shadow!Maybelline's Color Tattoo Cream Gel 
Shadow uses ink technology for their most intense, long-lasting shimmery metallic shades﻿. The cream formula glides on without creasing and keeps 
colour vibrant.Ophthalmologist-tested. Safe for sensitive eyes and contact lens wearers.
                    
                    
                    
                        
                        Shade Range: For best results: With 
fingertips, sweep all over eye from inner corner and work outwards. For
 added drama, darken as desired.     ",4,Eyeshadow,Eyeshadow,1,"4, 8, 13, 16, 20",,,
Maybelline Dream Smooth Mousse Foundation,14.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-smooth-mousse-foun-8.png,https://well.ca/products/maybelline-dream-smooth-mousse_28944.html,"Why You'll Love ItUnique cream-whipped foundation provides 100% baby-smooth perfection.

Skin looks and feels hydrated for 14 hours - never rough or dry
Lightweight formula provides perfectly moisturizing coverage
Blends seamlessly and feels fresh all-day
Oil-free, Fragrance-free, Dermatologist Tested, Allergy Tested, Non-comedogenic – won’t clog pores.
Safe for sensitive skin

 ",3.8,Foundation,Foundation,3,"1, 5, 10, 12, 15",,,
Maybelline Fit Me Shine-Free Foundation Stick,10.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/fit-me-shinefree-foundat-9.png,https://well.ca/products/maybelline-fit-me-shine-free_79864.html,"Get flawless, shine-free skin instantly and on-the-go for tailor-made 
mattifying coverage.  The anti-shine core has ultra-lightweight powders 
built in to the stick foundation to instantly dissolve excess oil. Features: Maybelline's first gel stick foundation with an anti-shine core
Fresh gel foundation blends to a flawless matte finish
Lightweight powders in the anti-shine core instantly dissolve excess oil",4.7,Foundation,Foundation,4,"1, 7, 13, 18, 19",,,
Maybelline Dream Matte Mousse Foundation,14.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-matte-mousse-found-10.png,https://well.ca/products/maybelline-dream-matte-mousse_3747.html,"Maybelline Dream Matte Mouse Foundation is a revolutionary air-soft mousse that provides perfecting coverage for 100% velvet-matte complexion. It's non-comedogenic, fragrance-free, dermatologist-tested, allergy-tested and ideal for normal to oily skin.For best results: Apply smoothly and evenly to your face and blend with your fingertips.﻿

 ",4.4,Foundation,Foundation,4,"1, 2, 6, 14, 20",,,
Maybelline Mineral Power Natural Perfecting Powder Foundation,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/mineral-power-natural-pe-11.png,https://well.ca/products/maybelline-mineral-power-natural_5900.html?cat=582,"Why You'll Love ItMineral Power Powder Foundation with micro-minerals provides a more natural, healthier, luminous look.
Discover the natural power of micro-minerals:
100% natural mica creates a more natural luminosity Complete, yet refined coverage Provides buildable, even coverage Preservative-free, talc-free, oil-free, fragrance-free Medium to Full Coverage",3.9,Foundation,Foundation,4,"5, 10, 11, 12, 17",,,
Maybelline Dream Velvet Foundation,18.49,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-velvet-foundatio-12.png,https://well.ca/products/maybelline-dream-velvet-foundation_112738.html?cat=581,"This Maybelline Dream Velvet Foundation is a refreshing gel-whipped foundation that leaves complexion perfected and smooth with a velvety, soft-matte finish. Skin stays hydrated for 12 hours. Features:Maybelline’s first hydrating matte foundation for 100% velvet-smooth perfectionUnique gel-whipped formulaIdeal for normal to combination skin, medium coverage For best results apply Maybelline Dream Velvet Foundation using Maybelline Dream Blender",2.5,Foundation,Foundation,1,"2, 3, 4, 10, 13",,,
Maybelline Superstay Better Skin Foundation ,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/superstay-better-skin-fo-13.png,https://well.ca/products/maybelline-superstay-better-skin_112548.html,"The Maybelline Superstay Better Skin Foundation reduces the appearance of spots, bumps, dullness and redness to give you brighter, smoother and more even skin. Features:Longwear that improves skin every minute you're in it: brighter, smoother and more even.With micro-flex technology and the antioxidant power of Actyl-C.Ideal for sensitive skin. Good for all skin types. Medium to full coverageHow to Apply: Apply evenly to your face and blend with your fingers.",3,Foundation,Foundation,1,"4, 8, 11, 17, 20",,,
Maybelline Dream Wonder Liquid Touch Foundation,14.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-wonder-liquid-touc-14.png,https://well.ca/products/maybelline-dream-wonder-liquid-touch_96732.html,"Maybelline Dream Wonder Liquid Touch Foundation's breakthrough texture fuses with skin. A finish so impeccable, yet undetectable.Features:Exclusive dropperMedium to full coverage, ideal for normal skinFor Best Results: Shake well. Unscrew cap. Holding dropper vertically, allow foundation to drop onto fingertip. Apply to face as usual.",,Foundation,Foundation,2,"1, 6, 8, 17, 20",,,
Maybelline Dream Liquid Mousse,14.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/dream-liquid-mouss-15.png,https://well.ca/products/maybelline-dream-liquid-mousse_12303.html,"Airbrushed perfection made possible:Air-whipped liquid makeup for 100% poreless skin

Breakthrough finish cushions and smooths for the most flawless, luminous coverage
Lightweight air-whipped formula blends to virtually eliminate pores and imperfections
Innovative shade-match pump makes finding your perfect shade a dream",4.4,Foundation,Foundation,4,"1, 5, 11, 14, 17",,,
Maybelline FIT ME! Matte + Poreless Foundation,10.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/fit-me-matte-poreless-f-16.png,https://well.ca/products/maybelline-fit-me-matte-poreless_100974.html,"Maybelline FIT ME! Matte + Poreless Foundation goes beyond  skin tone
 matching to fit the unique texture issues of normal to oily skin for 
the ultimate natural skin fit.

While some foundations can exaggerate pores and oily skin, only Maybelline's 
pore-minimizing foundation contains their genius blurring micro-powders 
that erase pores and absorb oil for a naturally matte and 
poreless-looking finish.Dermatologist and allergy tested.  Does not clog pores. Oil-free.",4.4,Foundation,Foundation,4,"6, 9, 10, 14, 16",,,
Maybelline Fit Me Foundation with SPF,10.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/fit-me-foundation-with-s-17.png,https://well.ca/products/maybelline-fit-me-foundation-with_31187.html,"It’s face makeup that fits you!Features: No oils, no waxes, no nonsenseNatural, Light to medium coverage that leaves skin the way it was meant to be. Fresh, breathing, flawless.Exclusive transluscent base and lightweight pigments allow skin’s natural highs and lows to show through.New shades formulated specifically for women of color contain 
revolutionary 5-D pigment technology to balance your skin’s authentic 
tones and highlights.SPF 18",3.8,Foundation,Foundation,4,"2, 3, 4, 11, 15",,,
Maybelline Color Sensational Lipliner,8.29,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-liplin-7.png,https://well.ca/products/maybelline-color-sensational_14541.html,"Keep your Maybelline lip color beautiful with matching lip liners that won't smudge, smear or bleed for smooth, defined lips. For best results: Line your lips starting in the center of your upper lip. Work from the 
center to outer edges of your lips using small strokes, following the 
contour of your mouth. Follow the same technique for your bottom lip. To
 extend the wear of your favorite lip color or lip gloss, first fill in 
your lips completely with lip liner.",3.5,Lip Liner,Lip Liner,4,"1, 2, 6, 18, 20",,,
Maybelline Color Sensational Vivid Matte Liquid Lip Colour,12.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-vivid-36.png,https://well.ca/products/maybelline-color-sensational-vivid_114538.html,"Bold, vivid color glides easily onto lips for a velvety matte finish with Maybelline Color Sensational Vivid Matte Liquid Lip Colour. 
Formula is comfortable and creamy with a smooth feel upon application. 
With full color coverage, the result is a rich, intense lip look in a 
range of colors from Nude Flush to Electric Pink to Vivid Violet.Features: Lip color glides on smooth to a matte finishInfused with pure pigments for high-impact colorCreamy liquid base for a soft, cushiony feel",,Lipstick,Lipstick,3,"2, 4, 5, 9, 10",,,
Maybelline Color Sensational Rebel Bloom Lipcolour ,9.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-rebel-37.png,https://well.ca/products/maybelline-color-sensational-rebel_101920.html,"Maybelline Color Sensational® Rebel Bloom lipstick offers vivacious pastels in a super-saturated lipcolour. Enjoy the kicky bouquet of lip colors in 
pinks, reds and mauves.  Features:Super-saturated pigments take fresh picked pastels to a new bright
Never dull, washed out or shy
Honey nectar adds a sumptuous feel

		Application: Apply lipcolor starting in the center of your upper lip. Work
 from the center to the outer edges of your lip, following the contours 
of your mouth. Then glide across the entire bottom lip.",3,Lipstick,Lipstick,1,"1, 9, 10, 13, 14",,,
Maybelline Lip Studio Color Blur ,11.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/lip-studio-color-blur-38.png,https://well.ca/products/maybelline-lip-studio-color-blur_106565.html,"Maybelline's Lip Studio Color Blur is a unique cream matte pencil with vivid colour.  The blurring smudger allows you to create your look from full on bold to softly blurred.Features:The cream matte pencil feels extremely smooth and comfortable on lips The blurring smudger means you can create your own looks from full-on bold to softly blurredColor Blur comes in many shades ranging from vivids to neutralsHow to Use: To achieve the softly blurred look, apply colour in the center of your top and bottom lips. Using the smudger, gently blur the colour out towards the edges of your top lip and then bottom lip.",,Lipstick,Lipstick,3,"2, 9, 14, 18, 20",,,
Maybelline Color Sensational The Buffs Lipcolour,9.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-the-bu-39.png,https://well.ca/products/maybelline-color-sensational-the_88857.html,"Raw. Real. Pigments explode with sensuous impact…sensational! Maybelline Color Sensational The Buffs Lipcolour have true nude lip color pigments for honest flesh tone color. This range has it all, from blushing beige, to bronze, to espresso.
		For Best Results: Apply your nude lip color lipstick by starting in the center 
of your upper lip. Work from the center to the outer edges of your lip, 
following the contours of your mouth. Then glide across the entire 
bottom lipShade Range:",4.8,Lipstick,Lipstick,2,"1, 6, 9, 18, 20",,,
Maybelline Color Sensational Vivids Lipcolour,9.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-vivids-40.png,https://well.ca/products/maybelline-color-sensational-vivids_66103.html,"With Maybelline Colour Sensational Vivids Lipcolour bright goes gorgeous, never garish!Get brighter color from Maybelline's exclusive vivid pigments.﻿ Plus get creamier feel from nourishing honey nectar.﻿ Features: Be bright and gorgeousExclusive Vivid colors are brighterHoney nectar formula nourishes lips﻿For Best Results: Apply lipcolor starting in the center of your upper lip. Work from the center to the outer edges of your lip, following the contours of your mouth. Then glide across the entire bottom lip.﻿Shade Range:",5,Lipstick,Lipstick,4,"2, 5, 8, 10, 15",,,
Maybelline Color Sensational Creamy Mattes Lipcolour ,9.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-creamy-41.png,https://well.ca/products/maybelline-color-sensational-creamy_100322.html,"Maybelline Creamy Mattes by Color Sensational deliver a burst of bold lip color and a surge of creamy texture in great make-a-statement shades, for mattes your lips will love to wear!Features: Lips slip into this creamy matteMattifying cream pure pigments and three precious oilsMake-a-statement shades",5,Lipstick,Lipstick,1,"3, 5, 12, 15, 18",,,
Maybelline Color Sensational Lipcolour,9.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/color-sensational-lipcol-42.png,https://well.ca/products/maybelline-color-sensational_14537.html,"Maybelline Colour Sensational Lipcolour will make you fall in love with color, all over again! Features: 

Crisper color from pure pigments 
Creamier feel from nourishing honey nectar 
Lipcolor so rich, so stunning… it’s sensational Incredible colour range, from pinks, plums, reds and bronze

 ",4.2,Lipstick,Lipstick,2,"1, 4, 6, 8, 11",,,
Maybelline Volum'Express Falsies Big Eyes Mascara,12.99,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/volumexpress-falsies-big-43.png,https://well.ca/products/maybelline-volumexpress-falsies-big_78175.html,"2 brushes. 2x more impact!Now get bigger eyes with 360 degrees of false 
lash glam volume! Upper lashes get over-the-top glam with the upper 
brush, while the lower brush grabs every tiny lower lash for a full 
circle effect.For best results: Apply the Upper Brush against the top lid lashes and sweep from
 root to tip until a clean, voluminous look is achieved, followed by the
 lower lash line using the lower Micro Brush. Do not let dry between 
coats. Removes easily with soap and water or with Maybelline® Clean 
Express!™ Classic Eye Makeup Remover.",4.5,Mascara,Mascara,4,"5, 8, 9, 12, 20",,,
Maybelline Define-A-Lash Lengthening & Defining Mascara,10.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/definealash-lengthening-44.png,https://well.ca/products/maybelline-define-a-lash-lengthening_3744.html,"Define-A-Lash Lengthening & Defining Mascara is a zero-clump mascara that creates stunning length and clean definition. The flexible brush is shaped to the lash to elongate and define lashes, one by one. The built-in wiper contours brush to remove excess formula, ensuring clean deposit on lashes. There is no smudging, smearing or flaking, and the smooth, lightweight formula feels comfortable on lashes.Allergy tested, ophthalmologist tested and contact lens safe.",4.4,Mascara,Mascara,1,"5, 6, 7, 16, 18",,,
Maybelline Great Lash - Clear,7.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/great-lash-clear-45.png,https://well.ca/products/maybelline-great-lash-clear_3752.html,"Great Lash Clear Washable Mascara is a crystal clear formula that gives a softer, fuller look.The gentle brush separates lashes into a perfect fan. It contains panthenol to condition lashes, glycerin for a soft feel. This is great for shaping and setting brows. Contact lens safe, opthalmologist tested.
 ",3.8,Mascara,Mascara,4,"13, 14, 16, 17, 18",,,
Maybelline Great Lash Big Mascara,7.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/great-lash-big-mascar-46.png,https://well.ca/products/maybelline-great-lash-big-mascara_15818.html,"Live Big! Great Lash Big has a Bigger Brush for Great Big Live-It-Up Lashes!

The Great Big Brush provides a bigger, bolder lash effect
Great buildable formula still conditions as it thickens with even greater intensity
No clumps or globs",4,Mascara,Mascara,4,"2, 10, 13, 14, 18",,,
Maybelline Great Lash Mascara,7.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/great-lash-mascar-47.png,https://well.ca/products/maybelline-great-lash-mascara_3735.html,"Great Lash Waterproof Mascara conditions as it thickens lashes. The lash-doubling formula glides on smoothly to build great-looking smudge-proof lashes. The lash-building brush makes it easy to get a full lash look without clumps. Hypoallergenic and contact lens safe.
Allure 2008 Reader's Choice Award Winner for drugstore mascara.",4.2,Mascara,Mascara,1,"10, 11, 12, 14, 16",,,
Maybelline Volum' Express Colossal Mascara,9.79,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/makeup/volum-express-colossal-m-48.png,https://well.ca/products/maybelline-volum-express-colossal_7663.html,"Why You'll Love It

Creates 9X the volume, instantly.
Patented MegaBrush + Collagen Formula plump lashes one by one 
Dramatic Volume with no clumps 
Washable",4.5,Mascara,Mascara,4,"3, 9, 10, 14, 20",,,
