title,calories,tab,description,images,price,rating,categories,stores,type,amazon,best_buy,target
Vegan,100,vegetable,Concept of healthy vegan eating,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/36.jpg,28.96,5,vegan,"2, 4, 5, 9, 10",1,,,
Asparagus,200,vegetable,Asparagus with ham on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/2.jpg,18.95,3,vegetable,"2, 4, 6, 9, 18",3,,,
Raw legums,200,vegetable,Raw legums on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/4.jpg,17.11,2,vegetable,"13, 16, 17, 18, 19",1,,,
Pesto with basil,300,vegetable,"Italian traditional pesto with basil, chesse and oil",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/6.jpg,18.19,2,vegetable,"3, 6, 13, 14, 19",3,,,
Hazelnut in black ceramic bowl,300,vegetable,Hazelnut in black ceramic bowl on old wooden background. forest wealth. rustic style. selective focus,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/7.jpg,27.35,0,vegetable,"1, 2, 6, 18, 20",4,,,
Legums,300,vegetable,Cooked legums on the wooden table,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/11.jpg,14.77,0,vegetable,"5, 10, 11, 12, 17",4,,,
Fresh tomato,300,vegetable,Fresh tomato juice with basil,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/12.jpg,16.3,2,vegetable,"2, 3, 4, 10, 13",4,,,
Green beans,300,vegetable,Raw organic green beans ready to eat,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/14.jpg,28.79,1,vegetable,"1, 6, 8, 17, 20",4,,,
Caprese salad,300,vegetable,Homemade healthy caprese salad with tomato mozzarella and basil,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/19.jpg,16.76,5,vegetable,"2, 3, 9, 11, 18",2,,,
Vegan food,200,vegetable,Concept of vegan food,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/21.jpg,29.66,4,vegetable,"3, 4, 5, 7, 9",4,,,
Sandwich with salad,200,vegetable,"Vegan sandwich with salad, tomato and radish",https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/32.jpg,22.48,5,vegetable,"5, 8, 12, 13, 17",2,,,
Raw asparagus,200,vegetable,Raw fresh asparagus salad with cheese and dressing,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/34.jpg,22.97,4,vegetable,"3, 5, 8, 13, 19",4,,,
Corn,200,vegetable,Grilled corn on the cob with salt and butter,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/35.jpg,13.55,2,vegetable,"3, 6, 7, 11, 12",3,,,
Basil,200,vegetable,Concept of vegan food with basil,https://raw.githubusercontent.com/wpmaps/sample-data/master/products-images/foody/47.jpg,15.19,4,vegetable,"10, 11, 12, 14, 16",4,,,
